green 0 600 13 2
red 0 600 32 8
rededge 0 600 10 3
nir 0 600 34 17
green 1 600 336 51
red 1 600 773 202
rededge 1 600 236 98
nir 1 600 835 427
green 2 600 5694 864
red 2 600 12974 3303
rededge 2 600 3925 1591
nir 2 600 14160 7047
green 3 600 65535 21777
red 3 600 65535 65535
rededge 3 600 65535 39608
nir 3 600 65535 65535
